Has_Online_delivery,Photos_url,Price_Range,Rating_text,Rating_Color,Rating_Votes,Aggregate_rating,Restaurant_id,Restaurant_Name,Cuisines,is_delivering_now,Average_cost_for_two,Switch_to_order_menu,Has_table_booking,latitude,Address,City,Country_id,Locality_verbose,City_id,longitude,Locality,Currency
0,https://www.zomato.com/ncr/bhai-ji-dhaba-udyog-vihar-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Not rated,CBCBC8,0,0.0,18463969,Bhai Ji Dhaba,North Indian,0,500,0,0,28.511513,"Hanuman Mandir, Phase-1, Udyog Vihar, Gurgaon",Gurgaon,1,"Udyog Vihar, Gurgaon",1,77.0755585,Udyog Vihar,Rs.
0,https://www.zomato.com/ncr/uttrakhand-dhaba-udyog-vihar-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Not rated,CBCBC8,0,0.0,18277216,Uttrakhand Dhaba,North Indian,0,200,0,0,28.5114797,"Near Ram Chowk, Udyog Vihar, Gurgaon",Gurgaon,1,"Udyog Vihar, Gurgaon",1,77.0762102,Udyog Vihar,Rs.
0,https://www.zomato.com/ncr/mogambo-kitchen-udyog-vihar-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Not rated,CBCBC8,0,0.0,18352171,Mogambo Kitchen,North Indian,0,200,0,0,28.4978821,"Plot 581, Phase 5, Udyog Vihar, Gurgaon",Gurgaon,1,"Udyog Vihar, Gurgaon",1,77.0834007,Udyog Vihar,Rs.
0,https://www.zomato.com/ncr/renu-sweets-restaurant-udyog-vihar-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Not rated,CBCBC8,0,0.0,18458319,Renu Sweets & Restaurant,North Indian,0,300,0,0,28.4909024,"Main Market Sarhaol, Opposite Siemens Company, Udyog Vihar, Gurgaon",Gurgaon,1,"Udyog Vihar, Gurgaon",1,77.0693753,Udyog Vihar,Rs.
1,https://www.zomato.com/ncr/behrouz-biryani-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Good,9ACD32,49,3.7,18365890,Behrouz Biryani,Biryani,0,600,0,0,28.4609895,"Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0787061,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/cafe-bonkerz-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Good,9ACD32,41,3.6,18360143,Cafe Bonkerz,"American, Fast Food",0,850,0,0,28.4604516,"Shop D-3, LGF, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0787061,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
0,https://www.zomato.com/ncr/mochamania-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Good,9ACD32,50,3.7,18322661,Mochamania,Bakery,0,300,0,0,28.4710018,"106, The Laburnum Villa, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0747614,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/wow-vada-pav-more-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Poor,FF7800,41,2.2,312555,WoW - Vada Pav & More,"Street Food, Fast Food",0,300,0,0,28.4605516,"Shop 137-D, Ground Floor, Sushant Shopping Arcade, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0789039,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
1,https://www.zomato.com/ncr/kake-da-hotel-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,CDD614,35,3.1,18306553,Kake Da Hotel,North Indian,0,700,0,0,28.460761,"G-114, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0798015,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
1,https://www.zomato.com/ncr/roti-te-boti-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,FFBA00,42,2.8,308113,Roti Te Boti,North Indian,0,600,0,0,28.4600768,"135, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0832025,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/halki-aanch-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,FFBA00,39,2.7,4602,Halki Aanch,"North Indian, Chinese",0,700,0,0,28.4714149,"The Laburnum, Phase 1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0756172,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/ovenstory-pizza-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Good,9ACD32,23,3.7,18429378,Ovenstory Pizza,"Pizza, Fast Food",0,500,0,0,28.4609696,"Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0788503,Sushant Lok,Rs.
0,https://www.zomato.com/ncr/cakes-muffins-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,21,3.3,18138454,Cakes & Muffins,Bakery,0,400,0,0,28.4659842,"B-1/75, 1st Floor, Phase 3, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0784363,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/jarfull-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Good,9ACD32,25,3.7,18363405,Jarfull,"South Indian, Desserts, Beverages",0,200,0,0,28.4605845,"G35, Sushant Shopping arcade, Sushant Lok 1, Gurgaon, Delhi NCR, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0791557,Sushant Lok,Rs.
0,https://www.zomato.com/ncr/chin-chow-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Poor,FF7800,38,2.4,313275,Chin Chow,Chinese,0,550,0,0,28.4601546,"UGH-180, 1st Floor, Vyapar Kendra, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0840118,Sushant Lok,Rs.
0,https://www.zomato.com/ncr/shri-shyam-ji-ke-mashhoor-chhole-bhature-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,26,3.3,312570,Shri Shyam Ji Ke Mashhoor Chhole Bhature,Street Food,0,200,0,0,28.4532726,"C Block, Near Fauji Market, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",1,77.0811311,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Rs.
0,https://www.zomato.com/ncr/lovecrumbs-bakery-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3,Average,CDD614,16,3.4,18391189,Lovecrumbs Bakery,Bakery,0,1000,0,0,28.4660738,"B 286, Phase-1, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.0784363,Sushant Lok,Rs.
1,https://www.zomato.com/ncr/organic-express-sushant-lok-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,CDD614,20,3.4,311837,Organic Express,"Healthy Food, North Indian, Italian, Salad",0,700,0,0,28.452042,"Gurgaon Organic Farmers Market, C Block, Community Centre, Sushant Lok, Gurgaon",Gurgaon,1,"Sushant Lok, Gurgaon",1,77.081955,Sushant Lok,Rs.
